AccDate,UserAddr,Shares,CCY,NAV
2015-04-16,12NY5WmSiQG19LBo5jGtWxJkhXTt52mHKq,1212.302,BTC,1.0444
2015-04-16,12T4G2x2UvtkRiSoNQ8XHmLqQqcoRhz1u2,0,BTC,1.0444
2015-04-16,1BEnysbA89Dayx4W4r4bbjYTMyt9DPhNns,1041.232,BTC,1.0444
2015-04-16,1EMhMCB54jagXXhMgCs4Nf85UFQ2CjMJse,0,BTC,1.0444
2015-04-16,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,2000,NBT,1.0444
2015-04-16,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,1000,NBT,1.0444
2015-04-16,BMptu4Mzdi63Q8uYaRDmZn8qGApD9JetY6,1895.555,NBT,1.0444
2015-04-16,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,0,NBT,1.0444
2015-04-16,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,3953.628,NBT,1.0444
2015-04-16,BR2ioFJcCBcCmk5NvWWTTwKUzJSU44my3V,1000,NBT,1.0444
2015-04-16,BRfZDLX26KQ4KFR5tNP2DUc1KpEmAhfcnR,1895.555,NBT,1.0444
