AccDate,UserAddr,Shares,CCY,Pool,NAV
2015-06-25,12NY5WmSiQG19LBo5jGtWxJkhXTt52mHKq,0,BTC,A,1.14249
2015-06-25,B5fSc35Cd7WrEEsktS85G8KNy1PwFjSiYP,2990.033,NBT,A,1.14249
2015-06-25,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,1882.885,NBT,A,1.14249
2015-06-25,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,2000,NBT,A,1.14249
2015-06-25,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,1000,NBT,A,1.14249
2015-06-25,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,3953.628,NBT,A,1.14249
2015-06-25,BRfZDLX26KQ4KFR5tNP2DUc1KpEmAhfcnR,1895.555,NBT,A,1.14249
2015-06-25,BJCu7UVDKDcB5BKEG7AmAJBHvhxHTn8c8t,0,NBT,A,1.14249
2015-06-25,BCkanfxikvHymDKtEP9Yv5TjZHCu7Uf2Sp,1840.265,NBT,C,1.10211
2015-06-25,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,1840.265,NBT,D,1.18667
2015-06-25,BGqKANcWPr6fR1NHANJ92kUkUtu2h9GGkV,1225.394,NBT,A,1.14249
2015-06-25,BFf7oziJHHvEZSDPUqAgAQ33XY8wGxZ8NN,2625.844,NBT,A,1.14249
2015-06-25,1PmknHjezBa3sc9xjcsVGEwU2ndALAZNGX,847.475,BTC,A,1.14249
2015-06-25,1Eq5pDojfRwJ3LahE7x6PU7Y1fiiFysLqM,847.475,BTC,A,1.14249
2015-06-25,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,1814.701,NBT,C,1.10211
2015-06-25,BNTpTQA9H4VXFSox1WsaoPYuib6XxUGcYZ,1264.041,NBT,D,1.18667
2015-06-25,BPvon97rscWsgBjeDycwwPKWtmXxr3PC6T,842.694,NBT,D,1.18667
2015-06-25,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,3370.777,NBT,D,1.18667
2015-06-25,1NK3UPasZPKEjkmeB2dJF6q21nBmJxdeKs,815.924,BTC,D,1.18667
