AccDate,UserAddr,Shares,CCY,NAV
2015-05-14,12NY5WmSiQG19LBo5jGtWxJkhXTt52mHKq,1212.302,BTC,1.062
2015-05-14,1BEnysbA89Dayx4W4r4bbjYTMyt9DPhNns,1041.232,BTC,1.062
2015-05-14,B5fSc35Cd7WrEEsktS85G8KNy1PwFjSiYP,2990.033,NBT,1.062
2015-05-14,B8NtgEGgsRaVhpLtd8pBximpszecpezGyc,0,NBT,1.062
2015-05-14,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,2000,NBT,1.062
2015-05-14,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,1000,NBT,1.062
2015-05-14,BMptu4Mzdi63Q8uYaRDmZn8qGApD9JetY6,1895.555,NBT,1.062
2015-05-14,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,3953.628,NBT,1.062
2015-05-14,BR2ioFJcCBcCmk5NvWWTTwKUzJSU44my3V,1000,NBT,1.062
2015-05-14,BRfZDLX26KQ4KFR5tNP2DUc1KpEmAhfcnR,1895.555,NBT,1.062
