AccDate,UserAddr,Shares,CCY,Pool,NAV
2015-06-18,12NY5WmSiQG19LBo5jGtWxJkhXTt52mHKq,1212.302,BTC,A,1.15045
2015-06-18,1BEnysbA89Dayx4W4r4bbjYTMyt9DPhNns,0,BTC,A,1.15045
2015-06-18,B5fSc35Cd7WrEEsktS85G8KNy1PwFjSiYP,2990.033,NBT,A,1.15045
2015-06-18,BAyo5mdCNEfAizddvpswXjuuhXUYSTx7m1,0,NBT,A,1.15045
2015-06-18,BC6uQNAfDyDP7EQuk2eXH5gAh9VBjGmNv1,1882.885,NBT,A,1.15045
2015-06-18,BETHkfzaUfnDkR7yPFq6CMNqPgDQWgqUwh,2000,NBT,A,1.15045
2015-06-18,BEnnCiy2XhLDb3bAoAaNGvxpWs6TKBYyPW,1000,NBT,A,1.15045
2015-06-18,BQuQX8BiXofvLf4Jn7i1iyjQJbV8iPBDaU,3953.628,NBT,A,1.15045
2015-06-18,BRfZDLX26KQ4KFR5tNP2DUc1KpEmAhfcnR,1895.555,NBT,A,1.15045
2015-06-18,BCkanfxikvHymDKtEP9Yv5TjZHCu7Uf2Sp,1840.265,NBT,C,1.09826
2015-06-18,BQjMT2dZoTdtjNQgWzXDUmtBGAt36gXb3x,1840.265,NBT,D,1.20647
2015-06-18,BJCu7UVDKDcB5BKEG7AmAJBHvhxHTn8c8t,2086.14,NBT,A,1.15045
