AccDate,NAV_A,NAV_C,NAV_D,TotalAssetA,OutstSharesA,TotalAssetC,OutstSharesC,TotalAssetD,OutstSharesD,NewIntRateC,BTCTier12,BTCTier3,NBTTier12,NBTTier3,BTCPrice,CustodianFeeA,ManageFeeA,CustodianFeeCD,ManageFeeCD,Status
2015-03-20,1,,,9082.464,9082.464,,,,,,0,8,0,7000,260.308,0,0,,,Confirmed
2015-03-26,1.003,,,8979.09,9082.464,,,,,,20.29503,0,3871.643,0,251.66,185.282,54.495,,,Confirmed
2015-04-02,1.0157,,,14159.886,14218.235,,,,,,26.462,9,2426.7652,3000,246.267,398.984,117.349,,,Confirmed
2015-04-09,1.0551,,,18482.35,18009.345,,,,,,10.0036,0.625,11761.68,4141.8,242.635,735.989,216.468,,,Confirmed
2015-04-16,1.0444,,,13789.314,13998.272,,,,,,0.5128,-9.287,17862.442,-2088.79,226.156,1175.869,345.844,,,Confirmed
2015-04-23,1.0535,,,19665.615,18886.739,,,,,,4.1627,0,12706.1553,5980.026,235.288,328.185,96.525,,,Confirmed
2015-04-30,1.0641,,,19535.434,18886.739,,,,,,8.2805,0,13154.67,4450,233.17,796.227,234.184,,,Confirmed
2015-05-07,1.0416,,,18782.665,18886.739,,,,,,12.0631,0,10855.8597,5150,230.19,1261.17,370.932,,,Confirmed
2015-05-14,1.062,,,16836.451,16988.305,,,,,,15.7587,0,9979.5033,3133.86,236.256,1708.197,502.411,,,Confirmed
2015-05-21,1.0622,,,17747.839,16975.635,,,,,,14.0758,0,6609.376,7826.188,235.317,400.705,117.854,,,Confirmed
2015-05-28,1.0868,1.0868,1.0868,16781.288,15975.635,2000,1840.265,2000,1840.265,20,38.9521,0,2151.4187,9433.59,236.092,823.104,242.089,0,0,Confirmed
2015-06-04,1.08525,1.09061,1.07979,16474.684,15975.635,2007.011,1840.265,1919.907,1840.265,20,43.9545,0,3032.492,7433.59,226.041,1222.499,359.558,95.2,28.0,Confirmed
2015-06-11,1.11164,1.09443,1.13058,18751.999,17893.959,2014.041,1840.265,1947.399,1840.265,20,38.9824,9.999,1866.115,9566.0754,230.317,1614.596,474.881,188.661,55.488,Confirmed
2015-06-18,1.15045,1.09826,1.20647,19266.25,17020.543,2021.089,1840.265,2153.675,1840.265,20,22.131,12.1909,3958.2084,10932.0254,249.137,446.298,131.264,94.279,27.729,Confirmed
2015-06-25,1.14249,1.10211,1.18667,21375.12,19268.289,4028.175,3654.966,9515.333,8133.701,22.0,45.8929,18.469,4603.5492,14735.84,242.058,904.835,266.128,193.638,56.952,Confirmed
2015-07-02,1.18428,1.10632,1.2475,20370.031,18042.895,4043.562,3654.966,10807.708,8955.45,24.2,47.4706,22.469,4312.3354,12984.63,256.283,1413.563,415.754,515.973,151.757,Confirmed
2015-07-09,1.21878,1.11093,1.2963,22499.425,19560.094,4060.411,3654.966,10995.233,8955.45,26.62,44.3335,29.294,5122.2045,12484.63,270.935,1898.37,558.344,869.433,255.716,Confirmed
2015-07-16,1.25507,1.11597,1.34729,24171.295,19560.094,5169.833,4632.591,11812.654,8955.45,29.28,33.9714,29.294,8140.6469,15029.371,284.26,535.488,157.496,358.325,105.391,Confirmed
2015-07-20,1.2527,1.11912,1.34203,18940.183,15606.466,7397.866,6610.431,11614.242,8964.187,32.21,17.0277,43.3394,11274.4389,9977.661,276.68,864.218,254.181,589.287,173.321,Confirmed
2015-07-23,1.25957,1.12169,1.35213,22411.03,18385.192,12802.78,11413.831,14567.893,11182.909,32.21,21.534,35.3394,11616.7958,22377.661,277.585,1057.408,311.002,783.211,230.357,Confirmed
